"o1","o2","e1","e2","chisq","word","name"
10,9,3.41707677640238,15.5829232235976,11.594873723993,"aaron","ELAINE"
4,75,14.2078455439889,64.7921544560111,-11.8055389755689,"able","ELAINE"
5,66,12.7690763749773,58.2309236250227,-7.15555741891414,"afraid","ELAINE"
4,2,1.07907687675865,4.92092312324135,6.88011159774117,"africa","ELAINE"
93,632,130.38845594167,594.61154405833,-14.2272070089245,"alright","ELAINE"
1,49,8.99230730632206,41.0076926936779,-13.0572020522461,"also","ELAINE"
30,221,45.1413826777367,205.858617322263,-6.85398547117383,"always","ELAINE"
13,188,36.1490753714147,164.850924628585,-22.8162921968562,"another","ELAINE"
10,12,3.95661521478171,18.0433847852183,8.75498416530263,"armoire","ELAINE"
4,2,1.07907687675865,4.92092312324135,6.88011159774117,"atomic","ELAINE"
120,779,161.681685367671,737.318314632329,-14.1234483071821,"back","ELAINE"
3,66,12.4093840827244,56.5906159172756,-11.7840827826842,"ball","ELAINE"
11,109,21.5815375351729,98.4184624648271,-7.43529974457257,"bathroom","ELAINE"
4,58,11.1504610598394,50.8495389401606,-7.06085490465771,"behind","ELAINE"
4,2,1.07907687675865,4.92092312324135,6.88011159774117,"ben","ELAINE"
1,31,5.75507667604612,26.2449233239539,-6.82374241177173,"besides","ELAINE"
10,11,3.77676906865526,17.2232309313447,9.61031947604,"beth","ELAINE"
36,19,9.89153803695426,45.1084619630457,60.1564556164001,"bike","ELAINE"
1,31,5.75507667604612,26.2449233239539,-6.82374241177173,"bill","ELAINE"
2,53,9.89153803695426,45.1084619630457,-10.6954082752711,"birthday","ELAINE"
7,2,1.61861531513797,7.38138468486203,15.277491258255,"blah","ELAINE"
1,38,7.01399969893121,31.9860003010688,-9.19805986904636,"blood","ELAINE"
5,3,1.43876916901153,6.56123083098847,7.76110354071939,"botticellis","ELAINE"
26,278,54.6732284224381,249.326771577562,-21.8739119601199,"boy","ELAINE"
12,4,2.87753833802306,13.1224616619769,24.7670669054411,"brett","ELAINE"
1,108,19.6032299277821,89.3967700722179,-34.8826930116145,"buddy","ELAINE"
8,153,28.955229526357,132.044770473643,-24.4918985577614,"business","ELAINE"
14,147,28.955229526357,132.044770473643,-11.1962981792208,"came","ELAINE"
43,367,73.7369199118409,336.263080088159,-17.8214236418784,"car","ELAINE"
6,3,1.61861531513797,7.38138468486203,10.3201673966118,"cartoon","ELAINE"
10,9,3.41707677640238,15.5829232235976,11.594873723993,"catalog","ELAINE"
4,2,1.07907687675865,4.92092312324135,6.88011159774117,"catalogue","ELAINE"
8,4,2.15815375351729,9.8418462464827,13.7602231954823,"chart","ELAINE"
8,139,26.4373834805869,120.562616519413,-20.4352998039005,"check","ELAINE"
6,5,1.97830760739085,9.02169239260915,7.4122724980257,"cheryl","ELAINE"
1,34,6.29461511442544,28.7053848855746,-7.83136486040589,"cigars","ELAINE"
6,92,17.6249223203912,80.3750776796088,-11.9248810916704,"clothes","ELAINE"
8,10,3.23723063027594,14.7627693697241,6.68510643283561,"clubs","ELAINE"
18,170,33.8110754717709,154.188924528229,-10.495733281846,"cmon","ELAINE"
24,218,43.5227673625988,198.477232637401,-12.3347532917428,"coffee","ELAINE"
154,925,194.05399167043,884.94600832957,-10.6895202633393,"come","ELAINE"
10,8,3.23723063027594,14.7627693697241,12.7546672635844,"communist","ELAINE"
8,9,3.0573844841495,13.9426155158505,7.51104989206032,"correct","ELAINE"
10,149,28.5955372341041,130.404462765896,-18.7117077075449,"costanza","ELAINE"
27,233,46.7599979928747,213.240002007125,-11.6406646300779,"course","ELAINE"
4,1,0.899230730632206,4.10076926936779,9.11773072260015,"crock","ELAINE"
4,2,1.07907687675865,4.92092312324135,6.88011159774117,"cucumber","ELAINE"
7,7,2.51784604577018,11.4821539542298,7.3867150820988,"cute","ELAINE"
5,70,13.4884609594831,61.5115390405169,-8.17389750494406,"dad","ELAINE"
5,69,13.3086148133566,60.6913851866434,-7.91631782938814,"damn","ELAINE"
8,5,2.33799989964374,10.6620001003563,12.1098503910732,"dan","ELAINE"
26,26,9.35199959857494,42.6480004014251,27.4363703049384,"david","ELAINE"
39,299,60.7879973907371,277.212002609263,-10.6264869811751,"day","ELAINE"
7,92,17.8047684665177,81.1952315334823,-9.91771211516275,"dead","ELAINE"
4,1,0.899230730632206,4.10076926936779,9.11773072260015,"denim","ELAINE"
5,1,1.07907687675865,4.92092312324135,12.1463275262577,"dion","ELAINE"
15,152,30.0343064031157,136.965693596884,-10.8329093563361,"done","ELAINE"
462,2800,586.658128664451,2675.34187133555,-34.313882930852,"dont","ELAINE"
5,2,1.25892302288509,5.74107697711491,9.5738144517566,"doofus","ELAINE"
9,11,3.59692292252882,16.4030770774712,7.71800437576389,"doorman","ELAINE"
21,168,33.9909216178974,155.009078382103,-6.81539510130999,"eat","ELAINE"
58,869,166.717377459211,760.282622540789,-109.80930763548,"elaine","ELAINE"
2,40,7.55353813731053,34.4464618626895,-6.64237763677029,"elaines","ELAINE"
14,260,49.2778440386449,224.722155961355,-40.589081519231,"end","ELAINE"
13,16,5.21553823766679,23.7844617623332,11.0597827859345,"fake","ELAINE"
24,197,39.7459982939435,181.254001706056,-8.60806058222206,"feel","ELAINE"
2,50,9.35199959857494,42.6480004014251,-9.73448964677348,"flight","ELAINE"
10,9,3.41707677640238,15.5829232235976,11.594873723993,"fred","ELAINE"
1,37,6.83415355280476,31.1658464471952,-8.85417086512385,"fruit","ELAINE"
9,97,19.0636914894028,86.9363085105972,-7.73973389379073,"game","ELAINE"
190,1072,226.965836411569,1035.03416358843,-7.68178604380324,"george","ELAINE"
283,1905,393.503367724653,1794.49663227535,-41.0981141060609,"get","ELAINE"
15,28,7.73338428343697,35.266615716563,6.95410123361376,"gettin","ELAINE"
21,34,9.89153803695426,45.1084619630457,12.3951626669024,"gimme","ELAINE"
62,419,86.5059962868182,394.494003713182,-9.20188967362074,"give","ELAINE"
111,236,62.4066127058751,284.593387294125,39.4682962628864,"god","ELAINE"
167,991,208.261837214419,949.738162785581,-10.5429329866735,"gonna","ELAINE"
160,1027,213.477375452086,973.522624547914,-17.5657483100516,"good","ELAINE"
264,1610,337.031677840951,1536.96832215905,-20.5275957649983,"got","ELAINE"
64,480,97.836303492784,446.163696507216,-15.8513630781053,"gotta","ELAINE"
4,1,0.899230730632206,4.10076926936779,9.11773072260015,"graduate","ELAINE"
4,1,0.899230730632206,4.10076926936779,9.11773072260015,"greg","ELAINE"
7,3,1.79846146126441,8.20153853873559,12.9914434594918,"hal","ELAINE"
6,79,15.2869224207475,69.7130775792525,-8.53660924965502,"half","ELAINE"
7,111,21.2218452429201,96.7781547570799,-14.9104841088705,"hand","ELAINE"
8,97,18.8838453432763,86.1161546567237,-9.34686351262322,"hard","ELAINE"
21,167,33.8110754717709,154.188924528229,-6.65509837819823,"heard","ELAINE"
27,244,48.7383056002656,222.261694399734,-13.6426796750864,"hell","ELAINE"
68,510,103.951072461083,474.048927538917,-16.8420732704868,"hello","ELAINE"
27,207,42.0839981935872,191.916001806413,-7.3567986792751,"help","ELAINE"
290,1991,410.229059314412,1870.77094068559,-46.8603283657509,"hey","ELAINE"
4,1,0.899230730632206,4.10076926936779,9.11773072260015,"honestly","ELAINE"
17,147,29.4947679647364,134.505232035264,-7.38188507057874,"house","ELAINE"
1,34,6.29461511442544,28.7053848855746,-7.83136486040589,"ice","ELAINE"
139,1003,205.384298876396,936.615701123604,-28.8326414628307,"ill","ELAINE"
10,9,3.41707677640238,15.5829232235976,11.594873723993,"jake","ELAINE"
11,11,3.95661521478171,18.0433847852183,11.6076951290124,"jeanpaul","ELAINE"
14,9,4.13646136090815,18.8635386390919,20.8179526676083,"jer","ELAINE"
7,1,1.43876916901153,6.56123083098847,18.3873536018929,"jill","ELAINE"
1,34,6.29461511442544,28.7053848855746,-7.83136486040589,"jon","ELAINE"
8,10,3.23723063027594,14.7627693697241,6.68510643283561,"kennedy","ELAINE"
8,5,2.33799989964374,10.6620001003563,12.1098503910732,"kevin","ELAINE"
2,41,7.73338428343697,35.266615716563,-6.94249542286208,"key","ELAINE"
7,82,16.0063070052533,72.9936929947467,-7.50176041083572,"kid","ELAINE"
2,60,11.1504610598394,50.8495389401606,-12.983486150457,"kids","ELAINE"
4,69,13.1287686672302,59.8712313327698,-10.075541905887,"kill","ELAINE"
38,273,55.9321514453232,255.067848554677,-7.718403760272,"kind","ELAINE"
13,122,24.2792297270696,110.72077027293,-7.42887243548696,"knew","ELAINE"
1,49,8.99230730632206,41.0076926936779,-13.0572020522461,"ladies","ELAINE"
9,102,19.962922220035,91.037077779965,-8.85627453103035,"late","ELAINE"
19,155,31.2932294260008,142.706770573999,-6.65568993640881,"leave","ELAINE"
3,72,13.4884609594831,61.5115390405169,-13.6522185332647,"leo","ELAINE"
49,416,83.6284579487951,381.371542051205,-19.9228754823741,"let","ELAINE"
54,428,86.6858424329446,395.314157567055,-16.8855987135032,"lets","ELAINE"
14,209,40.1056905861964,182.894309413804,-26.3030833177552,"life","ELAINE"
257,1988,403.75459805386,1841.24540194614,-72.7173552899464,"like","ELAINE"
2,68,12.5892302288509,57.4107697711491,-15.6627297208118,"liked","ELAINE"
24,6,5.39538438379324,24.6046156162068,54.7063843356009,"lippman","ELAINE"
89,274,65.2841510438981,297.715848956102,9.66965272979613,"listen","ELAINE"
99,648,134.345071156452,612.654928843549,-12.2433618276152,"little","ELAINE"
3,50,9.53184574470138,43.4681542552986,-7.06328562715715,"living","ELAINE"
157,914,192.615222501418,878.384777498581,-8.45847791923431,"look","ELAINE"
22,188,37.7676906865526,172.232309313447,-9.15865066107522,"looking","ELAINE"
14,1,2.69769219189662,12.3023078081034,41.0869249008558,"lookit","ELAINE"
