"o1","o2","e1","e2","chisq","word","name"
6,9,0.143187911284426,14.8568120887156,35.8020726214585,"architect","X2.The.Stakeout"
4,33,0.353196847834918,36.6468031521651,12.4981627488345,"art","X2.The.Stakeout"
9,274,2.7014785928995,280.298521407101,9.20721784099456,"ask","X2.The.Stakeout"
12,9,0.200463075798196,20.7995369242018,83.1300540046293,"bum","X2.The.Stakeout"
2,4,0.0572751645137704,5.94272483548623,11.0451542867546,"cheque","X2.The.Stakeout"
3,1076,10.2999837517264,1068.70001624827,-7.24853827786517,"come","X2.The.Stakeout"
3,34,0.353196847834918,36.6468031521651,7.73838634299015,"cousin","X2.The.Stakeout"
14,3248,31.1385977739865,3230.86140222601,-11.9850069571671,"dont","X2.The.Stakeout"
4,14,0.171825493541311,17.8281745064587,18.4123260207914,"elevator","X2.The.Stakeout"
1,1261,12.0468762693964,1249.9531237306,-17.2134858395458,"george","X2.The.Stakeout"
3,1349,12.9060037371029,1339.0939962629,-11.1306255958518,"going","X2.The.Stakeout"
3,1155,11.0541067511577,1146.94589324884,-8.33950095869632,"gonna","X2.The.Stakeout"
4,1870,17.888943049801,1856.1110569502,-15.8984486526968,"got","X2.The.Stakeout"
7,2274,21.7741083759851,2259.22589162401,-13.757261507752,"hey","X2.The.Stakeout"
2,1140,10.901372979121,1131.09862702088,-11.0896475385766,"ill","X2.The.Stakeout"
12,2469,23.6832805264441,2457.31671947356,-7.10531676040699,"just","X2.The.Stakeout"
12,3702,35.4533268340239,3678.54667316598,-21.0564177004405,"know","X2.The.Stakeout"
2,968,9.25948492972622,960.740515070274,-8.44368089230028,"kramer","X2.The.Stakeout"
8,2237,21.4304573889024,2223.5695426111,-11.1759267204833,"like","X2.The.Stakeout"
2,4,0.0572751645137704,5.94272483548623,11.0451542867546,"lobby","X2.The.Stakeout"
5,115,1.14550329027541,118.854496709725,7.15332119586547,"met","X2.The.Stakeout"
2,6,0.0763668860183605,7.92363311398164,9.72432885048551,"particular","X2.The.Stakeout"
6,2019,19.3303680233975,2005.6696319766,-12.7101242546285,"right","X2.The.Stakeout"
5,33,0.362742708587213,37.6372572914128,17.5568596757358,"teeth","X2.The.Stakeout"
2,978,9.35494353724917,970.645056462751,-8.59444704578094,"tell","X2.The.Stakeout"
4,58,0.591843366642294,61.4081566333577,8.66290043168817,"wedding","X2.The.Stakeout"
15,3784,36.264724997969,3762.73527500203,-16.1655405931363,"well","X2.The.Stakeout"
4,59,0.601389227394589,62.3986107726054,8.54980123848367,"word","X2.The.Stakeout"
9,55,0.610935088146884,63.3890649118531,32.8044043506413,"yknow","X2.The.Stakeout"
2,13,0.143187911284426,14.8568120887156,7.07574115088901,"great great","X2.The.Stakeout"
2,10,0.114550329027541,11.8854496709725,7.98495586778321,"will go","X2.The.Stakeout"
1,724,6.27295618917793,718.727043810822,-6.91200782376524,"alright","X3.The.Robbery"
2,5,0.0605664735506835,6.93943352644932,10.7108215019753,"answering","X3.The.Robbery"
10,181,1.65259949259722,189.347400507403,19.6834370924266,"apartment","X3.The.Robbery"
3,7,0.0865235336438335,9.91347646635617,16.4039175698565,"choose","X3.The.Robbery"
3,17,0.173047067287667,19.8269529327123,11.8866401446945,"closed","X3.The.Robbery"
5,56,0.527793555227385,60.4722064447726,13.8796766129681,"couch","X3.The.Robbery"
2,3,0.0432617668219168,4.95673823317808,12.3217190628804,"crook","X3.The.Robbery"
3,17,0.173047067287667,19.8269529327123,11.8866401446945,"deliver","X3.The.Robbery"
7,145,1.31515771138627,150.684842288614,12.2548847353065,"dollars","X3.The.Robbery"
8,121,1.11615358400545,127.883846415995,18.1225398090489,"door","X3.The.Robbery"
3,15,0.1557423605589,17.8442576394411,12.5400401285513,"flip","X3.The.Robbery"
3,9,0.1038282403726,11.8961717596274,15.1599201492989,"garden","X3.The.Robbery"
3,1259,10.9192699458518,1251.08073005415,-8.13706203597513,"george","X3.The.Robbery"
1,1351,11.6979817486463,1340.30201825135,-16.5622933856493,"going","X3.The.Robbery"
1,1149,9.95020636904086,1140.04979363096,-13.375308517328,"hes","X3.The.Robbery"
2,2279,19.7360180241584,2261.26398197584,-26.453592160664,"hey","X3.The.Robbery"
2,7,0.0778711802794502,8.92212881972055,9.5866441683271,"hits","X3.The.Robbery"
9,2472,21.4664886970351,2459.53351130296,-9.34922646340879,"just","X3.The.Robbery"
11,3703,32.1348403953198,3681.86515960468,-18.8057668024085,"know","X3.The.Robbery"
6,2239,19.4245333030406,2225.57546669696,-12.832551420541,"like","X3.The.Robbery"
2,3,0.0432617668219168,4.95673823317808,12.3217190628804,"movin","X3.The.Robbery"
2,5,0.0605664735506835,6.93943352644932,10.7108215019753,"odds","X3.The.Robbery"
7,115,1.05558711045477,120.944412889545,14.8936322413015,"open","X3.The.Robbery"
8,217,1.94677950698625,223.053220493014,10.6715789859253,"place","X3.The.Robbery"
3,44,0.406660608126018,46.593339391874,6.95075073714975,"police","X3.The.Robbery"
3,1501,13.0131394600326,1490.98686053997,-11.289291210563,"see","X3.The.Robbery"
3,21,0.207656480745201,23.7923435192548,10.7795559350171,"shoot","X3.The.Robbery"
1,730,6.32487030936423,724.675129690636,-6.9997929098957,"something","X3.The.Robbery"
3,11,0.121132947101367,13.8788670528986,14.1424881336919,"stolen","X3.The.Robbery"
2,1961,16.9845696542845,1946.01543034572,-21.5275950707406,"thats","X3.The.Robbery"
2,1637,14.1812071642243,1624.81879283578,-16.6184271591324,"think","X3.The.Robbery"
5,21,0.224961187473967,25.775038812526,22.4075209261128,"tip","X3.The.Robbery"
