"gender","episode","num","word.count","Share"
"M","The Non-Fat Yogurt",71,1245,0.704584040747029
"F","The Barber",72,232,0.106617647058824
"M","The Barber",72,1944,0.893382352941177
"F","The Masseuse",73,1146,0.331693198263386
"M","The Masseuse",73,2309,0.668306801736614
"F","The Cigar Store Indian",74,754,0.302204408817635
"M","The Cigar Store Indian",74,1741,0.697795591182365
"F","The Conversion",75,413,0.269582245430809
"M","The Conversion",75,1119,0.730417754569191
"F","The Stall",76,857,0.37819947043248
"M","The Stall",76,1409,0.62180052956752
"F","The Dinner Party",77,835,0.280672268907563
"M","The Dinner Party",77,2140,0.719327731092437
"F","The Marine Biologist",78,607,0.306256306760848
"M","The Marine Biologist",78,1375,0.693743693239152
"F","The Pie",79,939,0.332389380530973
"M","The Pie",79,1886,0.667610619469027
"F","The Stand-In",80,605,0.171777399204997
"M","The Stand-In",80,2917,0.828222600795003
"F","The Wife",81,1036,0.329097839898348
"M","The Wife",81,2112,0.670902160101652
"F","The Raincoats Part 1",82,1172,0.173040011811605
"M","The Raincoats Part 1",82,5601,0.826959988188395
"F","The Raincoats Part 2",83,812,0.179328621908127
"M","The Raincoats Part 2",83,3716,0.820671378091873
"F","The Fire",84,419,0.126015037593985
"M","The Fire",84,2906,0.873984962406015
"F","The Hamptons",85,734,0.317748917748918
"M","The Hamptons",85,1576,0.682251082251082
"F","The Opposite",86,729,0.254895104895105
"M","The Opposite",86,2131,0.745104895104895
"F","The Chaperone",87,729,0.254895104895105
"M","The Chaperone",87,2131,0.745104895104895
"F","The Big Salad",88,713,0.267441860465116
"M","The Big Salad",88,1953,0.732558139534884
"F","The Pledge Drive",89,610,0.279944928866453
"M","The Pledge Drive",89,1569,0.720055071133547
"F","The Chinese Woman",90,720,0.325056433408578
"M","The Chinese Woman",90,1495,0.674943566591422
"F","The Couch",91,550,0.185309973045822
"M","The Couch",91,2418,0.814690026954178
"F","The Gymnast",92,729,0.235922330097087
"M","The Gymnast",92,2361,0.764077669902913
"F","The Mom And Pop Store",93,317,0.102225088681071
"M","The Mom And Pop Store",93,2784,0.897774911318929
"F","The Soup",94,737,0.270756796473181
"M","The Soup",94,1985,0.729243203526818
"F","The Secretary",95,375,0.156576200417537
"M","The Secretary",95,2020,0.843423799582463
"F","The Switch",96,635,0.313890261987148
"M","The Switch",96,1388,0.686109738012852
"F","The Label Maker",97,484,0.189580885233059
"M","The Label Maker",97,2069,0.810419114766941
"F","The Race",98,580,0.18874064432151
"M","The Race",98,2493,0.81125935567849
"F","The Scofflaw",99,438,0.159562841530055
"M","The Scofflaw",99,2307,0.840437158469945
"F","The Kiss Hello",100,759,0.300356153541749
"M","The Kiss Hello",100,1768,0.699643846458251
"F","The Beard",101,652,0.27545416138572
"M","The Beard",101,1715,0.72454583861428
"F","The Doorman",102,572,0.224666142969364
"M","The Doorman",102,1974,0.775333857030636
"F","The Jimmy",103,370,0.181017612524462
"M","The Jimmy",103,1674,0.818982387475538
"F","The Doodle",104,736,0.275758711127763
"M","The Doodle",104,1933,0.724241288872237
"F","The Fusilli Jerry",105,648,0.277516059957173
"M","The Fusilli Jerry",105,1687,0.722483940042827
"F","The Diplomat's Club",106,645,0.284015852047556
"M","The Diplomat's Club",106,1626,0.715984147952444
"F","The Understudy",107,960,0.409032807839796
"M","The Understudy",107,1387,0.590967192160205
"F","The Face Painter",108,360,0.158380994280686
"M","The Face Painter",108,1913,0.841619005719314
"F","The Engagement",109,504,0.203307785397338
"M","The Engagement",109,1975,0.796692214602662
"F","The Postponement",110,677,0.225516322451699
"M","The Postponement",110,2325,0.774483677548301
"F","The Maestro",111,635,0.24479568234387
"M","The Maestro",111,1959,0.755204317656129
"F","The Wink",112,869,0.280503550677857
"M","The Wink",112,2229,0.719496449322143
"F","The Hot Tub",113,420,0.173697270471464
"M","The Hot Tub",113,1998,0.826302729528536
"F","The Soup Nazi",114,737,0.270756796473181
"M","The Soup Nazi",114,1985,0.729243203526818
"F","The Secret Code",115,357,0.17056856187291
"M","The Secret Code",115,1736,0.82943143812709
"F","The Pool Guy",116,579,0.242767295597484
"M","The Pool Guy",116,1806,0.757232704402516
"F","The Sponge",117,959,0.31452935388652
"M","The Sponge",117,2090,0.68547064611348
"F","The Gum",118,434,0.159032612678637
"M","The Gum",118,2295,0.840967387321363
"F","The Rye",119,643,0.271308016877637
"M","The Rye",119,1727,0.728691983122363
"F","The Caddy",120,679,0.312759097190235
"M","The Caddy",120,1492,0.687240902809765
"F","The Seven",121,2885,0.289136099418721
"M","The Seven",121,7093,0.710863900581279
"F","The Cadillac Part 1",122,662,0.261041009463722
"M","The Cadillac Part 1",122,1874,0.738958990536278
"F","The Cadillac Part 2",123,891,0.507114399544678
"M","The Cadillac Part 2",123,866,0.492885600455322
"F","The Shower Head",124,631,0.280071016422548
"M","The Shower Head",124,1622,0.719928983577452
"F","The Doll",125,1037,0.281487513572204
"M","The Doll",125,2647,0.718512486427796
"F","The Friars Club",126,526,0.210906174819567
"M","The Friars Club",126,1968,0.789093825180433
"F","The Wig Master",127,584,0.229830775285321
"M","The Wig Master",127,1957,0.770169224714679
"F","The Calzone",128,402,0.18018825638727
"M","The Calzone",128,1829,0.81981174361273
"F","The Bottle Deposit Part 1",129,244,0.119549240568349
"M","The Bottle Deposit Part 1",129,1797,0.880450759431651
"F","The Bottle Deposit Part 2",130,315,0.183246073298429
"M","The Bottle Deposit Part 2",130,1404,0.816753926701571
"F","The Wait Out",131,353,0.353707414829659
"M","The Wait Out",131,645,0.646292585170341
"F","The Invitations",132,517,0.242154566744731
"M","The Invitations",132,1618,0.757845433255269
"F","The Foundation",133,615,0.228879791589133
"M","The Foundation",133,2072,0.771120208410867
"F","The Soul Mate",134,623,0.217984604618614
"M","The Soul Mate",134,2235,0.782015395381386
"F","The Bizarro Jerry",135,618,0.255688870500621
"M","The Bizarro Jerry",135,1799,0.744311129499379
"F","The Little Kicks",136,701,0.258767072720561
"M","The Little Kicks",136,2008,0.741232927279439
"F","The Package",137,566,0.267738883632923
"M","The Package",137,1548,0.732261116367077
"F","The Fatigues",138,607,0.319641916798315
"M","The Fatigues",138,1292,0.680358083201685
"F","The Checks",139,419,0.17046379170057
"M","The Checks",139,2039,0.82953620829943
"F","The Chicken Roaster",140,435,0.211575875486381
"M","The Chicken Roaster",140,1621,0.788424124513619
"F","The Abstinence",141,855,0.305357142857143
"M","The Abstinence",141,1945,0.694642857142857
"F","The Andrea Doria",142,539,0.179846513179847
"M","The Andrea Doria",142,2458,0.820153486820153
"F","The Little Jerry",143,639,0.21793997271487
"M","The Little Jerry",143,2293,0.78206002728513
"F","The Money",144,746,0.278566094100075
"M","The Money",144,1932,0.721433905899925
"F","The Comeback",145,534,0.243169398907104
"M","The Comeback",145,1662,0.756830601092896
"F","The Van Buren Boys",146,723,0.231212024304445
"M","The Van Buren Boys",146,2404,0.768787975695555
"F","The Susie",147,524,0.215726636475916
"M","The Susie",147,1905,0.784273363524084
"F","The Pothole",148,641,0.31421568627451
"M","The Pothole",148,1399,0.68578431372549
"F","The English Patient",149,583,0.218761726078799
"M","The English Patient",149,2082,0.781238273921201
"F","The Nap",150,481,0.180895073335841
"M","The Nap",150,2178,0.819104926664159
"F","The Yada Yada",151,916,0.333819241982507
"M","The Yada Yada",151,1828,0.666180758017493
"F","The Millennium",152,596,0.267985611510791
"M","The Millennium",152,1628,0.732014388489209
"F","The Muffin Tops",153,734,0.257363253856942
"M","The Muffin Tops",153,2118,0.742636746143058
"F","The Summer of George",154,576,0.232727272727273
"M","The Summer of George",154,1899,0.767272727272727
"F","The Butter Shave",155,281,0.126065500224316
"M","The Butter Shave",155,1948,0.873934499775684
"F","The Voice",156,501,0.164154652686763
"M","The Voice",156,2551,0.835845347313237
"F","The Serenity Now",157,569,0.258284157966409
"M","The Serenity Now",157,1634,0.741715842033591
"F","The Blood",158,800,0.278745644599303
"M","The Blood",158,2070,0.721254355400697
"F","The Junk Mail",159,241,0.131910235358511
"M","The Junk Mail",159,1586,0.868089764641489
"F","The Merv Griffin Show",160,567,0.245348334054522
"M","The Merv Griffin Show",160,1744,0.754651665945478
"F","The Slicer",161,585,0.1872
"M","The Slicer",161,2540,0.8128
"F","The Betrayal",162,1061,0.312610489098409
"M","The Betrayal",162,2333,0.687389510901591
"F","The Apology",163,415,0.229789590254707
"M","The Apology",163,1391,0.770210409745293
"F","The Strike",164,708,0.234437086092715
"M","The Strike",164,2312,0.765562913907285
"F","The Dealership",165,329,0.0955839628123184
"M","The Dealership",165,3113,0.904416037187682
"F","The Reverse Peephole",166,601,0.20977312390925
"M","The Reverse Peephole",166,2264,0.79022687609075
"F","The Cartoon",167,909,0.378119800332779
"M","The Cartoon",167,1495,0.621880199667221
"F","The Strong Box",168,534,0.291484716157205
"M","The Strong Box",168,1298,0.708515283842795
"F","The Wizard",169,438,0.234978540772532
"M","The Wizard",169,1426,0.765021459227468
"F","The Burning",170,397,0.193942354665364
"M","The Burning",170,1650,0.806057645334636
"F","The Bookstore",171,556,0.210207939508507
"M","The Bookstore",171,2089,0.789792060491493
"F","The Frogger",172,676,0.257916825639069
"M","The Frogger",172,1945,0.742083174360931
"F","The Maid",173,647,0.243966817496229
"M","The Maid",173,2005,0.756033182503771
"F","The Puerto Rican Day",174,572,0.218487394957983
"M","The Puerto Rican Day",174,2046,0.781512605042017
"F","The Finale Part 1",175,543,0.175671303785183
"M","The Finale Part 1",175,2548,0.824328696214817
"F","The Finale Part 2",176,581,0.18082788671024
"M","The Finale Part 2",176,2632,0.81917211328976
