"JERRY","GEORGE","KRAMER","ELAINE","MORTY","HELEN","NEWMAN","SUSAN","ESTELLE","FRANK","All.others","word"
6,1,2,0,0,0,1,0,0,0,1,"ah just"
5,2,2,3,0,0,0,0,0,0,0,"ah know"
2,1,0,0,0,0,0,0,0,0,1,"ah lets"
0,0,1,0,0,0,1,0,0,0,1,"ah look"
0,2,3,2,0,0,0,0,0,0,3,"ah oh"
0,0,1,1,0,0,0,1,0,0,0,"ah okay"
1,2,0,1,0,0,0,0,0,0,0,"ah really"
2,3,2,0,0,0,0,0,0,0,1,"ah see"
3,1,1,0,0,0,0,0,0,0,1,"ah shes"
5,1,1,0,0,0,0,0,0,0,0,"ah thats"
2,0,1,5,0,0,0,0,0,0,1,"ah think"
0,1,0,2,0,0,0,0,0,0,1,"ah uh"
2,1,3,1,0,0,0,0,0,0,0,"ah well"
1,1,4,1,0,0,0,0,0,0,0,"ah yeah"
0,0,0,1,0,0,1,0,0,0,4,"ah yes"
4,1,2,0,0,0,0,1,0,0,1,"ah youre"
5,4,0,2,1,0,0,0,0,0,2,"aha"
36,19,18,21,0,0,5,0,0,0,22,"ahead"
3,0,1,1,0,0,2,0,0,0,1,"ahead go"
2,0,1,1,0,0,2,0,0,0,1,"ahead go ahead"
1,1,0,2,0,0,0,0,0,0,0,"ahead oh"
1,0,1,0,0,0,0,0,0,0,1,"ahead yeah"
1,1,0,2,0,0,0,0,0,0,6,"ahem"
13,9,14,12,3,0,1,0,0,0,19,"ahh"
1,3,0,0,0,0,0,0,0,0,1,"ahha"
0,2,1,1,0,0,1,0,0,0,4,"ahhh"
0,2,1,0,0,0,0,0,0,0,1,"ahhhhh"
0,1,2,0,2,0,0,0,0,0,0,"ahoy"
7,1,3,3,0,0,0,2,0,0,4,"aids"
6,0,2,0,0,0,0,2,0,0,1,"aids walk"
3,0,0,0,0,0,0,2,0,0,1,"aids walk list"
0,1,3,0,0,0,0,0,0,0,4,"aint"
13,10,17,13,0,1,1,0,0,1,10,"air"
2,0,4,5,0,1,0,0,0,0,2,"air conditioner"
1,1,1,3,0,0,0,0,0,0,0,"air conditioning"
3,1,0,2,0,0,0,0,0,0,1,"airline"
2,0,0,1,0,1,0,0,0,0,0,"airlines"
16,6,4,5,0,2,0,0,0,0,2,"airport"
1,1,0,0,0,0,0,0,0,0,1,"airport oh"
0,0,1,2,0,0,1,0,0,0,2,"aisle"
1,0,0,0,0,0,2,0,0,0,1,"al jolson"
15,3,4,5,0,0,0,0,0,0,2,"alarm"
4,1,0,1,0,0,0,0,0,0,1,"alarm clock"
2,1,0,2,0,0,0,0,0,0,2,"alcoholic"
6,4,0,2,0,0,0,0,0,0,3,"alec"
1,0,0,2,0,0,0,0,0,0,3,"alec berg"
4,0,5,3,0,0,0,0,0,0,3,"alex"
0,1,0,1,0,0,1,0,0,0,0,"alibi"
1,1,0,0,0,0,0,0,0,0,1,"aliens"
1,0,1,1,0,0,0,0,0,0,2,"alike"
2,6,3,0,0,0,0,0,1,0,3,"alive"
1,2,1,0,0,0,0,0,0,0,1,"allen"
1,1,1,0,0,0,0,0,0,0,1,"allen movie"
0,0,1,1,0,0,0,0,0,0,2,"allergic"
1,1,2,2,0,0,0,0,0,0,3,"alley"
1,1,0,0,0,0,1,0,0,0,0,"alliance"
3,9,5,0,0,0,0,0,0,0,0,"allison"
5,2,2,1,1,0,1,0,0,0,5,"allow"
1,0,1,0,0,0,0,0,0,0,1,"allow outside"
4,5,2,4,0,0,0,0,0,0,5,"allowed"
1,1,1,0,0,0,0,0,0,0,1,"almond"
23,13,11,12,0,0,2,0,1,1,27,"almost"
1,1,0,1,0,0,0,0,0,0,0,"almost got"
12,11,4,11,0,2,0,0,1,1,14,"alone"
22,13,5,8,1,1,1,2,0,0,12,"along"
1,2,0,2,0,1,0,0,0,0,0,"along well"
46,27,11,16,2,3,1,0,1,1,31,"already"
1,1,0,0,0,0,0,0,0,1,0,"already come"
2,1,0,2,0,0,0,0,0,0,3,"already got"
220,155,147,93,6,1,14,3,2,2,82,"alright"
17,18,14,5,0,0,1,0,0,0,2,"alright alright"
1,0,4,1,0,0,0,0,0,0,0,"alright alright alright"
5,3,5,1,0,0,0,0,0,0,0,"alright alright ill"
1,0,1,0,0,0,0,0,0,0,1,"alright alright im"
1,1,0,0,0,0,1,0,0,0,1,"alright back"
2,1,1,1,0,0,0,0,0,0,2,"alright can"
2,1,1,0,0,0,0,0,0,0,1,"alright cmon"
5,0,2,1,0,0,1,0,0,0,0,"alright come"
2,1,4,6,0,0,0,0,0,0,0,"alright fine"
1,1,0,1,0,0,0,0,0,0,0,"alright forget"
0,0,1,0,0,0,0,1,0,1,1,"alright george"
2,0,0,2,0,0,0,0,0,0,2,"alright get"
1,5,2,1,0,0,1,0,0,0,3,"alright go"
1,1,1,0,0,0,1,0,0,0,1,"alright go ahead"
1,1,1,0,0,0,0,0,0,0,0,"alright going"
0,6,2,2,0,0,0,0,0,0,1,"alright good"
2,4,1,0,0,0,0,0,0,0,4,"alright got"
5,5,1,1,0,0,0,0,0,0,1,"alright gotta"
3,2,0,1,0,0,0,0,0,0,1,"alright gotta go"
0,1,0,1,0,0,1,0,0,0,0,"alright guess"
2,1,1,1,0,0,0,0,0,0,1,"alright hey"
21,9,19,2,0,0,1,0,0,0,2,"alright ill"
2,1,1,0,0,0,0,0,0,0,0,"alright ill call"
6,1,1,0,0,0,0,0,0,0,0,"alright ill see"
1,2,2,0,0,0,0,0,0,0,0,"alright ill tell"
8,3,10,3,0,0,0,1,0,0,2,"alright im"
2,0,2,0,0,0,0,0,0,0,1,"alright im gonna"
1,2,2,1,0,0,0,0,0,0,0,"alright jerry"
8,5,0,1,0,0,0,0,0,0,0,"alright just"
2,1,2,1,0,0,0,0,0,0,1,"alright know"
5,6,3,4,1,0,4,0,1,0,2,"alright lets"
1,1,0,0,1,0,0,0,0,0,1,"alright lets get"
3,3,0,2,0,0,0,0,1,0,0,"alright lets go"
1,1,0,0,0,0,0,0,0,0,1,"alright lets just"
2,2,2,4,0,0,0,0,0,0,0,"alright listen"
0,3,6,1,0,0,0,0,0,0,0,"alright look"
1,5,7,0,0,0,0,0,0,0,2,"alright now"
3,1,0,1,0,0,0,0,0,0,1,"alright okay"
1,1,0,1,0,0,0,0,0,0,0,"alright said"
0,2,1,0,0,0,0,0,0,0,3,"alright see"
3,0,4,0,0,0,0,0,0,0,1,"alright take"
0,1,0,1,0,0,0,0,0,0,2,"alright tell"
6,6,2,3,0,0,0,0,0,0,4,"alright thats"
3,1,1,2,0,0,0,0,0,0,1,"alright thats enough"
1,1,1,1,0,0,1,0,0,0,0,"alright uh"
4,3,7,9,0,0,1,1,0,0,2,"alright well"
1,2,1,1,0,0,0,0,0,0,2,"alright whats"
4,2,7,0,0,0,0,0,0,0,1,"alright yeah"
3,1,1,0,0,0,0,0,0,0,0,"alright youre"
0,3,1,2,0,0,0,0,0,0,0,"alrighty"
19,8,5,1,0,1,1,4,0,1,20,"also"
4,1,2,3,0,0,0,0,0,0,3,"although"
0,1,1,0,0,0,0,0,0,0,1,"altogether"
86,62,23,30,3,2,1,0,5,1,38,"always"
1,2,0,0,0,0,1,0,0,0,2,"always felt"
0,1,0,0,0,0,0,0,1,0,1,"always knew"
0,2,0,1,0,0,0,0,1,0,0,"always make"
1,1,0,1,0,0,0,0,0,0,0,"always say"
1,1,0,0,0,0,0,0,0,0,1,"always take"
3,2,1,0,0,0,0,0,0,0,1,"always tell"
1,1,2,2,0,0,0,0,0,0,0,"always thought"
3,2,2,3,0,0,0,0,0,0,1,"always wanted"
0,1,1,0,0,0,0,0,0,0,1,"always wondered"
1,0,1,2,0,0,0,0,0,0,0,"amazed"
26,10,3,7,0,0,0,0,0,0,7,"amazing"
5,2,2,3,2,0,0,0,0,0,2,"ambulance"
3,3,6,3,0,0,1,0,0,0,3,"america"
1,2,4,1,0,0,0,0,0,0,7,"american"
1,2,0,0,0,0,0,0,0,0,2,"amount"
1,1,0,0,0,0,0,0,0,0,1,"ampm"
0,0,1,2,0,0,0,0,0,0,2,"amsterdam"
